company,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
Hyundai,Grand i10 1.2 Kappa Magna BSIV,490000.00000000006,40000,Petrol,Manual,1st Owner,2017-07-07,1197,5
Ford,Ecosport 1.5 Petrol Titanium AT,651000.0,49000,Petrol,Automatic,1st Owner,2016-09-03,1496,5
Mahindra,Thar LX 4-Str Hard Top Diesel AT,1751000.0000000002,19000,Diesel,Automatic,1st Owner,2022-08-20,2184,4
Hyundai,i20 Magna Optional 1.4 CRDi,391000.0,56000,Diesel,Manual,2nd Owner,2013-04-25,1396,5
Honda,City 1.5 V MT,375000.0,65000,Petrol,Manual,2nd Owner,2010-09-04,1497,5
Toyota,Etios G,490000.00000000006,27680,Petrol,Manual,1st Owner,2013-09-18,1496,5
Kia,Seltos GTX Plus AT D,1825000.0,27305,Diesel,Automatic,1st Owner,2021-10-16,1493,5
BMW,3 Series 320d,3300000.0,10793,Diesel,Automatic,1st Owner,2019-11-17,1995,5
BMW,X3 xDrive 20d Luxury Line,5600000.0,12000,Diesel,Automatic,1st Owner,2020-12-31,1995,5
MG,Hector Sharp DCT,1499000.0,44000,Petrol,Automatic,1st Owner,2019-02-16,1451,5
Kia,Seltos HTK G,1199000.0,63000,Petrol,Manual,1st Owner,2020-09-21,1497,5
Hyundai,i20 Sportz Plus Diesel,650000.0,87000,Diesel,Manual,1st Owner,2019-08-27,1396,5
Maruti,Alto LXi,190000.0,61000,Petrol,Manual,1st Owner,2010-09-17,796,5
Hyundai,i20 Sportz Option 1.4 CRDi,625000.0,72000,Diesel,Manual,1st Owner,2016-12-30,1396,5
Audi,A4 2.0 TDI Multitronic,1651000.0000000002,70000,Diesel,Automatic,1st Owner,2015-12-03,1968,5
Nissan,Micra Diesel XV,225000.0,58000,Diesel,Manual,2nd Owner,2012-06-27,1461,5
Honda,Jazz Active,130000.0,90000,Petrol,Manual,3rd Owner,2009-07-17,1198,5
Honda,City VX MT,1250000.0,19000,Petrol,Manual,1st Owner,2022-03-12,1497,5
Toyota,Corolla Altis G AT,925000.0,72159,Petrol,Automatic,1st Owner,2014-08-18,1798,5
Ford,Ecosport 1.5 DV5 MT Titanium,590000.0,78000,Diesel,Manual,1st Owner,2015-12-22,1498,5
Ford,Ecosport 1.5 Diesel Titanium BSIV,690000.0,58000,Diesel,Manual,1st Owner,2018-12-28,1498,5
Ford,Ecosport 1.5 Diesel Titanium Plus BSIV,890000.0,72000,Diesel,Manual,1st Owner,2018-06-07,1498,5
Nissan,Micra Diesel XV,290000.0,73000,Diesel,Manual,1st Owner,2012-09-02,1461,5
Hyundai,Creta 1.6 VTVT S,890000.0,28840,Petrol,Manual,1st Owner,2016-07-19,1591,5
Maruti,Swift Dzire AMT ZXI,690000.0,51500,Petrol,Automatic,1st Owner,2019-06-29,1197,5
Maruti,S-Presso VXI Plus AT 2019-2022,480000.0,41370,Petrol,Automatic,1st Owner,2020-03-08,998,5
Hyundai,Creta 1.6 VTVT S,875000.0,41266,Petrol,Manual,1st Owner,2016-04-13,1591,5
Hyundai,Verna VTVT 1.6 AT SX Option,990000.0,31740,Petrol,Automatic,1st Owner,2018-07-14,1591,5
Maruti,Ciaz VXi Plus,615000.0,77876,Petrol,Manual,1st Owner,2015-07-15,1373,5
Skoda,Kushaq 1.5 TSI Style,2050000.0,9500,Petrol,Manual,1st Owner,2022-08-24,1498,5
Hyundai,Grand i10 1.2 Kappa Sportz Option AT,625000.0,28387,Petrol,Automatic,1st Owner,2019-02-20,1197,5
Mercedes-Benz,M-Class ML 350 CDI,2700000.0,120000,Diesel,Automatic,2nd Owner,2015-12-09,2987,5
Hyundai,Grand i10 Magna,450000.0,20000,Petrol,Manual,2nd Owner,2017-03-02,1197,5
Mercedes-Benz,C-Class Progressive C 220d,4250000.0,30686,Diesel,Automatic,1st Owner,2020-02-11,1950,5
Tata,Indica eV2 DL BSIII,100000.0,120000,Diesel,Manual,2nd Owner,2013-07-26,1396,5
Mahindra,Bolero Power Plus SLE,600000.0,184000,Diesel,Manual,2nd Owner,2018-10-23,1493,7
Honda,City 1.5 S AT,400000.0,40000,Petrol,Automatic,1st Owner,2009-07-06,1497,5
Maruti,Ciaz Delta Diesel,625000.0,55000,Diesel,Manual,1st Owner,2015-04-23,1248,5
Hyundai,Grand i10 1.2 Kappa Sportz Option,575000.0,38000,Petrol,Manual,1st Owner,2019-12-19,1197,5
Audi,Q3 30 TFSI Premium FWD,2350000.0,40000,Petrol,Automatic,1st Owner,2017-07-17,1395,5
Hyundai,Santro GS zipDrive - Euro II,135000.0,60000,Petrol,Manual,2nd Owner,2006-04-14,999,5
Mahindra,Bolero SLX,300000.0,110000,Diesel,Manual,3rd Owner,2009-09-23,2523,7
Maruti,Swift LDI,210000.0,143000,Diesel,Manual,2nd Owner,2011-06-13,1248,5
Tata,Indica Aqua 1.3 Quadrajet BSIV,125000.0,110000,Diesel,Manual,3rd Owner,2012-03-08,1248,5
Mahindra,KUV 100 mFALCON D75 K4 Plus,475000.0,58000,Diesel,Manual,1st Owner,2017-04-04,1198,6
Tata,Harrier XZ Plus,1700000.0,50000,Diesel,Manual,1st Owner,2021-04-02,1956,5
Tata,Zest Revotron 1.2 XT,349000.0,55000,Petrol,Manual,1st Owner,2015-01-21,1193,5
Land,Rover Discovery Sport R-Dynamic SE Diesel,7000000.0,19500,Diesel,Automatic,1st Owner,2021-07-01,1999,7
Mahindra,XUV500 AT W10 FWD,925000.0,78000,Diesel,Automatic,2nd Owner,2016-07-01,2179,7
Honda,City V MT,390000.0,58000,Petrol,Manual,1st Owner,2010-06-30,1497,5
Mahindra,XUV500 AT W10 1.99 mHawk,1125000.0,30000,Diesel,Automatic,1st Owner,2016-03-21,1997,7
Maruti,Baleno 1.2 Zeta,725000.0,44153,Petrol,Manual,1st Owner,2018-03-06,1197,5
Mercedes-Benz,C-Class C 250d Avantgarde Edition C,3450000.0,21000,Diesel,Automatic,1st Owner,2018-04-10,2143,5
Kia,Seltos HTX G,1400000.0,19000,Petrol,Manual,1st Owner,2020-03-09,1497,5
Hyundai,Alcazar Signature Diesel AT,1950000.0,27300,Diesel,Automatic,1st Owner,2021-01-28,1493,6
Skoda,Superb Laurin & klement,3400000.0,31001,Petrol,Automatic,1st Owner,2021-04-25,1984,5
Renault,KWID 1.0 RXT,310000.0,50000,Petrol,Manual,1st Owner,2017-10-08,999,5
Maruti,Wagon R LXI BSII,130000.0,77000,Petrol,Manual,2nd Owner,2005-04-28,998,5
Maruti,Swift Dzire AMT VXI,650000.0,53000,Petrol,Automatic,1st Owner,2018-10-27,1197,5
Datsun,RediGO S,275000.0,20000,Petrol,Manual,1st Owner,2017-10-02,799,5
Honda,Brio S Option MT,350000.0,72000,Petrol,Manual,1st Owner,2013-02-11,1198,5
Hyundai,Creta 1.6 VTVT S,890000.0,26000,Petrol,Manual,1st Owner,2016-11-21,1591,5
Jaguar,XF 2.2 Litre Luxury,2200000.0,69619,Diesel,Automatic,1st Owner,2014-08-31,2179,5
Maruti,Wagon R LXI Minor,211000.0,61000,Petrol,Manual,1st Owner,2009-07-17,1061,5
Renault,Duster 110PS Diesel RxZ AMT,975000.0,31000,Diesel,Automatic,1st Owner,2018-11-03,1461,5
Volkswagen,Polo GT TSI,625000.0,66000,Petrol,Automatic,1st Owner,2015-04-10,1197,5
Land,Rover Discovery Sport R-Dynamic SE,7200000.0,7700,Petrol,Automatic,1st Owner,2021-02-15,1997,7
Mahindra,XUV700 AX3 AT,1750000.0,9000,Petrol,Automatic,1st Owner,2022-08-09,1999,5
Tata,Tigor 1.2 Revotron XT,340000.0,60000,Petrol,Manual,2nd Owner,2017-08-19,1199,5
Skoda,Fabia 1.2 MPI Active,110000.00000000001,110000,Petrol,Manual,3rd Owner,2009-10-24,1198,5
Kia,Seltos HTX Plus AT D,1675000.0,51001,Diesel,Automatic,1st Owner,2020-09-29,1493,5
Jeep,Compass 2.0 Limited Plus AT,2100000.0,56207,Diesel,Automatic,1st Owner,2020-04-25,1956,5
Mercedes-Benz,GLA Class 200 d Sport,2690000.0,58000,Diesel,Automatic,1st Owner,2019-09-21,2143,5
Hyundai,i20 Diesel Sportz,650000.0,73290,Diesel,Manual,1st Owner,2018-04-08,1396,5
Hyundai,Verna 1.6 CRDi S,790000.0,44283,Diesel,Manual,1st Owner,2017-06-22,1582,5
Maruti,Celerio VXI AT,425000.0,48000,Petrol,Automatic,1st Owner,2016-04-24,998,5
Honda,City 1.5 S MT,340000.0,107500,Petrol,Manual,3rd Owner,2010-01-11,1497,5
